仓附名:ID,驻地,:LABEL
龙庆仓,密云县,蓟镇仓附
猪圈头仓,镇虏营城堡,蓟镇仓附
顺义仓,顺义县,蓟镇仓附
黄崖口仓,黄崖口关,蓟镇仓附
大安口仓,大安口,蓟镇仓附
永盈仓,遵化市,蓟镇仓附
汉儿庄仓,汉儿庄营城堡,蓟镇仓附
青山营仓,青山驻操营城堡,蓟镇仓附
古北口仓,古北口关,蓟镇仓附
广丰仓,石塘岭营城堡,蓟镇仓附
广有仓,曹家寨营城堡,蓟镇仓附
太平寨仓,太平寨营城堡,蓟镇仓附
蓟州预备仓,蓟县,蓟镇仓附
刘家口仓,刘家口关,蓟镇仓附
台头营仓,台头营城堡,蓟镇仓附
石门寨仓,石门寨营城堡,蓟镇仓附
黄土岭仓,黄土岭营城堡,蓟镇仓附
石匣仓,石匣营城堡,蓟镇仓附
熊儿谷仓,平谷县,蓟镇仓附
将军营仓,将军石营城堡,蓟镇仓附
马兰谷仓,马兰谷营城堡,蓟镇仓附
罗文谷仓,罗文峪关,蓟镇仓附
洪山口仓,洪山口关,蓟镇仓附
喜峰口仓,大喜峰口关,蓟镇仓附
三屯营仓,迁西县,蓟镇仓附
广储仓,白马关,蓟镇仓附
广积仓,大水峪关,蓟镇仓附
五重安仓,五重安营城堡,蓟镇仓附
蓟州仓,蓟县,蓟镇仓附
建昌营仓,建昌营城堡,蓟镇仓附
燕河营仓,燕河营城堡,蓟镇仓附
界岭口仓,界岭口营城堡,蓟镇仓附
山海仓,山海关,蓟镇仓附
丰盈仓,丰涧县,蓟镇仓附
广盈仓,墙子岭营城堡,蓟镇仓附
