植物名:ID,英文,野生植物资源,科,:LABEL
油松,Pinus tabulaeformis Carr.,油脂植物、树脂树胶植物,松科,野生植被
胡枝子,Lespedeza bicolor Turcz.,油脂植物、饲料牧草植物、蜜源植物,豆科,野生植被
小叶鼠李,Rhamnus parvifolia Bunge,油脂植物,鼠李科,野生植被
榛,Corylus heterophylla Fisch et Trautv.,油脂植物,桦木科,野生植被
刺五加,Acanthopanax senticosus (Rupr. et Maxim.) Harms,药用植物,五加科,重点保护植物
野大豆,Glycine soja Sieb. et Zucc.,饲料牧草植物、药用植物,豆科,重点保护植物
紫椴,Tilia amurensis,蜜源植物,椴树科,重点保护植物
黄檗,Phellodendron zmurense,药用植物,芸香科,重点保护植物
胡桃楸,Juglans mandshurica Maxim.,淀粉植物、纤维素植物、农药类植物,胡桃科,重点保护植物
板栗,Castanea mollissima Bl.,淀粉植物,壳斗科,野生植被
栓皮栎,Quercus variabilis Bl.,淀粉植物,壳斗科,野生植被
玉竹,Polygonatum odoratum (Mill.) Druce,淀粉植物,百合科,野生植被
穿山龙,Discorea nipponica Makino,淀粉植物,薯蓣科,重点保护植物
山杨,Populus davidiana Dode,淀粉植物、纤维素植物,杨柳科,野生植被
白莲蒿,Artemisia sacrorum Ledeb.,香料植物,菊科,野生植被
枣,Ziziphus jujuba Mill.,香料植物,鼠李科,野生植被
荆条,Vitex negundo var. heterophylla (Franch.) Rehd.,香料植物,马鞭草科,野生植被
野鸢尾,Iris dichotoma Pall,香料植物,鸢尾科,野生植被
茜草,Rubia cordifolia Linn.,色素植物,茜草科,野生植被
国槐,Sophora japonica Linn.,色素植物、蜜源植物,豆科,野生植被
黄栌,Cotinus coggygria Scop.,色素植物,漆树科,野生植被
桑,Morus alba L.,色素植物,桑科,野生植被
山葡萄,Vitis amurensis Rupr.,饮料植物,葡萄科,野生植被
白桦,Betula platyphylla Suk.,饮料植物,桦木科,野生植被
毛樱桃,Prunus tomentosa (Thunb.) Wall.,饮料植物,蔷薇科,野生植被
山丁子,Malus baccata (Linn.) Borkh.,饮料植物,蔷薇科,野生植被
槲寄生,Viscum coloratum (Kom.) Nakai,山野菜植物、药用植物,桑寄生科,野生植被
野韭,Allium ramosum L.,山野菜植物,百合科,野生植被
车前,Plantago asiatica L.,山野菜植物,车前科,野生植被
苦菜,Ixeris Chinensis (Thunb.) Nakai,山野菜植物、药用植物,菊科,野生植被
灰菜,Chenopodium album L.,山野菜植物,藜科,野生植被
草麻黄,Ephedra sinica Stapf,山野菜植物、药用植物,麻黄科,重点保护植物
华北落叶松,Larix principls-rupprechtii Mayr.,树脂树胶植物、鞣料植物,松科,野生植被
山杏,Prunus sibirica L.,树脂树胶植物,蔷薇科,野生植被
山楂,Crataegus pinnatifida L.,树脂树胶植物,蔷薇科,野生植被
巴天酸模,Rumex patientia L.,鞣料植物,蓼科,野生植被
鹅绒委陵菜,Ptenrilla anserina L.,鞣料植物,蔷薇科,野生植被
三裂叶绣线菊,Spiraea trilobata L.,鞣料植物,蔷薇科,野生植被
旱柳,Salix matsudana Koidz.,鞣料植物,杨柳科,野生植被
榆树,Ulmus pumila L.,纤维素植物,榆科,野生植被
葎草,Humulus scandens (Lour.) Merr.,纤维素植物,桑科,野生植被
野古草,Arundinella hirta (Thunb.),纤维素植物,禾本科,野生植被
萝藦,Metaplexis japonica (Thunb.) Makino,纤维素植物,萝藦科,野生植被
苍耳,Xanthium sibiricum Patrin ex widd.,能源植物,菊科,野生植被
卷柏,Selaginella tamar iscina (Beauv.) Spr.,药用植物,卷柏科,野生植被
石沙参,Adenophora polyantha Nakai,药用植物,桔梗科,野生植被
祁州漏芦,Rhaponticum uniflorum (L.) DC.,药用植物,菊科,野生植被
北柴胡,Bupleurum chinense DC.,药用植物,伞形科,野生植被
草乌,Aconitum kusnezoffii Reichb.,农药类植物,毛茛科,野生植被
钝叶瓦松,Orostachys malacophyllus (Pall.) Fisch.,花卉植物,景天科,野生植被
太平花,Philadelphus pekinensis Rupr.,花卉植物,虎耳草科,野生植被
大花溲疏,Deutzia grandiflora Bge.,花卉植物、环境保护植物,虎耳草科,野生植被
矮紫苞鸢尾,Iris ruthenicar Ker-Gawl. var. nana Maxim.,花卉植物,鸢尾科,野生植被
河蒴荛花,Wikstroemia chamaedaphne (Bge.) Meisn.,农药类植物,瑞香科,野生植被
雀儿舌头,Leptopus chinensis (Bunge) Pojark.,农药类植物,大戟科,野生植被
黄花蒿,Artemisia annua L.,农药类植物,菊科,野生植被
飞廉,Carduus crispus L.,蜜源植物,菊科,野生植被
榆叶梅,Prunus triloba Lindl.,蜜源植物,蔷薇科,野生植被
华北绣线菊,Spiraea fritschiana Schneid,蜜源植物,蔷薇科,野生植被
达乌里胡枝子,Lespedeza davurica (Laxm.) Schindl.,环境绿化植物,豆科,野生植被
糙叶黄耆,Astragalus scaberimus Bge.,环境绿化植物,豆科,野生植被
蒙古栎,Quercus mongolica Fisch.,环境绿化植物,壳斗科,野生植被
地肤,Kochia scoparia (L.) Schrad.,饲料牧草植物、农药类植物,藜科,野生植被
黄背草,Themeda japonica (Willd.) Tanaka,饲料牧草植物,禾本科,野生植被
画眉草,Eragrostis pilosa (L.) Beauv.,饲料牧草植物,禾本科,野生植被
大油芒,Spodiopogon sibiricus Trin.,饲料牧草植物,禾本科,野生植被
披针叶苔草,Carex lanceolata Boott,饲料牧草植物,莎草科,野生植被
