姓名:ID,名、号/别名,存亡时间,简介,:LABEL
努尔哈赤,清太祖,1559年—1626年,统一女真诸部、度创立八旗制度、建立后金政权,皇帝
玄烨,清圣祖,1654年5月4日—1722年12月20日,擒鳌拜；平定三藩；收台湾；亲征准噶尔；驱逐沙俄；开创康熙盛世,皇帝
胤禛,清世宗,1678年12月13日—1735年10月8日,平定罗卜藏丹津叛乱；推行国计民生改革；设立军机处；设立会考府,皇帝
弘历,清高宗,1711年9月25日—1799年2月7日,开创“十全武功”；编著《四库全书》；有很高的书法、诗文造诣,皇帝
奕詝,清文宗,1831年7月17日—1861年8月22日,任用肃顺改革吏治；镇压太平天国,皇帝
载湉,清德宗,1871年8月14日—1908年11月14日,对日本主战，主持戊戌变法,皇帝
朱元璋,明太祖,1328年10月21日—1398年6月24日,建立明朝，推翻元朝统治；休养生息，开创洪武之治,皇帝
朱允炆,明惠宗,1377年12月5日－?,建文新政,皇帝
朱棣,明成祖,1360年5月2日—1424年8月12日,编修《永乐大典》，经营东北，派郑和下西洋，营建紫禁城，占领安南，五征漠北,皇帝
朱高炽,明仁宗,1378年8月16日—1425年5月29日,靖难之役时坚守北平，为仁宣之治奠定基础,皇帝
朱瞻基,明宣宗,1399年3月16日－1435年1月31日,平定朱高煦叛乱；形成“仁宣之治”的治世；有很高的书画造诣,皇帝
朱祁镇,明英宗,1427年11月29日—1464年2月23日,夺门之变后复位，废除“殉葬”制度,皇帝
朱祁钰,明代宗,1428年9月11日—1457年3月23日,临危受命，力挽狂澜，保卫北京；选贤任能，纂修《寰宇通志》,皇帝
朱见深,明宪宗,1447年12月9日—1487年9月9日,为于谦等名臣平反昭雪，安排荆襄流民,皇帝
朱祐樘,明孝宗,1470年7月30日―1505年6月8日,开创“弘治中兴、修《会典》，立制度,皇帝
朱厚照,明武宗,1491年10月27日－1521年4月20日,应州大捷，诛杀刘瑾，平宁王及安化王叛乱,皇帝
朱厚熜,明世宗,1507年9月16日—1567年1月23日,取得大礼议的胜利，推行嘉靖新政，抗击倭寇,皇帝
朱载坖,明穆宗,1537年3月4日—1572年7月5日,隆庆新政,皇帝
朱翊钧,明神宗,1563年9月4日—1620年8月18日,开创“万历中兴”的局面；进行了“万历三大征”,皇帝
朱常洛,明光宗,1582年8月28日—1620年9月26日,废除矿监和税监，拔擢良臣,皇帝
朱由校,明熹宗,1605年12月23日-1627年9月30日,魏忠贤阉党对东林党人的迫害不断激起民变。其时，国内各种社会矛盾激化。主要忧患来自辽东后金对明朝的威胁。朱由校即位后罢免有胆知兵的辽东经略熊廷弼，致使后金攻陷沈阳、辽阳，辽东局势日趋严峻。,皇帝
朱由检,明思宗,1611年2月6日－1644年4月25日,修《崇祯历书》，除魏忠贤等逆党，整顿吏治,皇帝
朱由崧,明安宗,1607年9月5日－1646年7月1日,南京称帝，延续明祚,皇帝
