官名:ID,别名,简介,驻地,防御单位,辖区和职权,驻兵人数,:LABEL
总督,总制、督宪、制台、制军,冠以兵部侍郎或兼都察院都御使、副都御使或金都御使职衔。主要是总督蓟镇、辽东镇、保定等镇军务兼理粮晌。先是，蓟、辽有警，间谴重臣巡视，或称提督。到后来边患日甚，始置总督，总督府设在密云。,镇城,镇,总掌防区内的战守行动,据实际情况而定,蓟镇核心官职
总兵官,总兵、总镇、总戎,总兵是一镇军防政策的执行者，负责统领蓟镇的军马，整修城池，训练军队，对蓟镇的战和行动有指挥权。属临时差遣﹐无品级﹐无定员﹐多由公﹑侯﹑伯﹑都督充任。,镇城,镇,协助主将策应本镇及邻镇的防御,城内驻兵 3000 人,蓟镇核心官职
副总兵,协守,协助总兵官，负责蓟镇分区的军事防务工作。,重要城堡,镇,某一紧要地段的防务,据实际情况而定,蓟镇核心官职
参将,分守,一路的军事长官。无定员，位次于总兵、副总兵，秩正三品。,重要城堡,路,管辖本路诸城堡驻军和本路地段防御,2 个卫，12000 余人,蓟镇核心官职
守备,,负责守卫城堡。,卫城,卫,统领本城堡及所属堡寨戍军,5600人,蓟镇核心官职
百户,把总,把总是明代及清代前中期陆军基层军官名，在明代属京营、边军系统，秩比正七品，次于军中统率千名战兵之千总（守备），麾下约有战兵四百四十人。,堡寨,百户所,负责该堡寨附近若干里长城及墩台的瞭守,112人,蓟镇核心官职
千户,把总,明代驻守京师的京营兵分为三大营，设千总、把总等领兵官，职位低下。,所城,千户所,,1120人,蓟镇核心官职
总旗,,为百户下属，明代军队编制五十人为总旗，十人为小旗。,该城堡,旗,,50人,蓟镇核心官职
小旗,,十人为小旗。,该城堡,旗,,十人,蓟镇核心官职
巡抚,抚军、抚台,冠以都察院副都御使或金都御使职衔。主要是整伤蓟镇边备，即安抚军民、弹压地方、监督武将。,,,,,蓟镇核心官职
兵备官,,蓟镇辖区密云、蓟州和永平等处各设一兵备，为省级司法部监察部门提刑按司的督察官，由于蓟镇地处京师，而京师不设提刑按察司，所以其官员在山东或河南等省列衔，永平兵备为提刑按察司副使身份。兵备与副总兵地位相当，实际上地位更高些，这是明代典型的重文轻武、以文制武的产物。,,,,,蓟镇核心官职
游击将军,游击,担任总督、巡抚、总兵直辖的各标兵营及入援蓟镇的客兵营的军事长官。,,,,,蓟镇核心官职
提调,,负责把守各关口。蓟镇在一片石、大毛山等二十六处重要关口均设有提调官。提调下设有千总、把总、百总等官职。,,,,,蓟镇核心官职
卫指挥使司,,明朝于都指挥使司之下设卫指挥使司，长官为指挥使1人，正三品，副长官为指挥同知2人，从三品；属员有指挥佥事4人，正四品；镇抚司镇抚2人，从四品，经历司经历，从七品，知事，正八品，吏目，从九品，仓大使、副使各1人。,,,,,蓟镇核心官职
经历,, 都察院、通政使司、布政使司、按察使司等亦置经历，职掌出纳文书。,,,,,蓟镇核心官职
知事,,地方行政长官的名称。宋时分命京官出守列郡，称为权知某府或某州或某县事，知事之名由此而起。明清径称县级地方行政长官为知县，民国改知县为县知事，省称知事，后又改知事为县长。,,,,,蓟镇核心官职
镇抚司,,于诸卫置镇抚司。锦衣卫所属之南北两镇抚司，尤专以酷刑镇压贪官污吏。,,,,,蓟镇核心官职
