论文名:ID,作者,时间,:LABEL
《明长城蓟镇建置时间考辨》,王琳峰、郭宇力,2013年,论文文献
《明蓟镇长城1981—1987年考古报告》序一,单霁翔,2014年,论文文献
《明蓟镇长城1981—1987年考古报告》,河北省文物研究,2013年,论文文献
《明代北京长城的历史沿革—以蓟镇长城为例》,董焱,2011年,论文文献
《明蓟镇长城1981—1988年考古报告》序二,罗哲文,2011年,论文文献
《明蓟镇长城1981—1987年考古调查的主要收获》,郑绍宗,2014年,论文文献
《明长城蓟镇图考略》,杨文和,2015年,论文文献
《明蓟镇长城研究》,高愈翔,2015年,论文文献
《北京长城文化展示带构建研究》,王哲,2013年,论文文献
《明蓟镇长城沿线关城聚落研究》,苗苗,2004年,论文文献
《长城北京段风景区植被特征及植物多样性》,袁秀、李景文、李俊清,2007年,论文文献
《“大博物馆”建设:八达岭长城景区未来发展的新思路》,乔雨,2001年,论文文献
《北京地区长城遥感调查》,曾朝铭、顾巍、刘纪选,1987年,论文文献
《基于要素叠加的旅游景区经济影响域空间分异》以八达岭长城景区为例,牛亚菲、宋涛、刘春凤,2010年,论文文献
《北京延庆地区明长城城堡的保护与利用》,王珊珊,2017年,论文文献
《明长城居庸关防区军事聚落防御性研究》,刘珊珊,2011年,论文文献
《戚继光与蓟镇长城防务》,紫西,1998年,论文文献
《明代长城沿线的战争题材壁画》延庆永宁和平街明代火神庙战争题材壁画初探,范学新,2010年,论文文献
《北京延庆遗产资源的保护与可持续发展研究》,蒋小玉,2010年,论文文献
《挖掘延庆传统文化资源提升延庆文化软实力》,范学新,2012年,论文文献
《延庆传统文化资源的挖掘与利用》,范学新,2012年,论文文献
《明长城蓟镇戍边屯堡时空分布研究》,王琳峰、张玉坤,2010年,论文文献
《明长城“九边”重镇军事防御性聚落研究》,李严,2007年,论文文献
《明长城蓟镇军事防御性聚落研究》,王琳峰,2011年,论文文献
《延庆地区传统堡寨型聚落形态及保护策略研究》,孙弘扬,2015年,论文文献
《北京地区传统村落分布与特征研究》以北京延庆地区为例,郭阳,2014年,论文文献
